Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM,IBC
1,C_1_M_1,com.google.javascript.jscomp.IntegrationTest::testIssue787,1,Modified,9,1866,0.950696677,0.145949688,638738,0,0,0.950696677
1,C_2_M_1,com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal1,1,Modified,4,672,0.995535714,0.249005375,262767,0,0,0.995535714
1,C_2_M_2,com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal2,1,Modified,4,667,0.995502249,0.25010975,261775,0,0,0.995502249
1,C_2_M_3,com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal3,1,Modified,4,693,0.995670996,0.249962421,266981,0,0,0.995670996
1,C_2_M_4,com.google.javascript.jscomp.RemoveUnusedVarsTest::testIssue168b,1,Modified,3,672,0.995535714,0.249431265,262767,0,0,0.995535714
1,C_3_M_1,com.google.javascript.jscomp.CommandLineRunnerTest::testSimpleModeLeavesUnusedParams,1,New,3,1630,0.941104294,0.150986088,558971,0,0,0.941104294
1,C_3_M_2,com.google.javascript.jscomp.CommandLineRunnerTest::testAdvancedModeRemovesUnusedParams,0,New,3,2031,0.928606598,0.130446846,694723,0,0,0.928606598
1,C_3_M_3,com.google.javascript.jscomp.CommandLineRunnerTest::testTypeParsingOffByDefault,0,Modified,2,1674,0.943249701,0.145455418,573755,0,0,0.943249701
1,C_3_M_4,com.google.javascript.jscomp.CommandLineRunnerTest::testTypeParsingOnWithVerbose,0,Modified,4,2187,0.942386831,0.130273893,747954,0.002286237,0,0.942386831
1,C_3_M_5,com.google.javascript.jscomp.CommandLineRunnerTest::testDebugFlag1,1,Modified,4,1598,0.943053817,0.151367006,548219,0,0,0.943053817
1,C_3_M_6,com.google.javascript.jscomp.CommandLineRunnerTest::testForwardDeclareDroppedTypes,1,Modified,5,2182,0.933547204,0.135666586,746244,0.002291476,0,0.933547204
1,C_4_M_1,com.google.javascript.jscomp.CheckAccessControlsTest::testAutoboxedDeprecatedProperty,0,Modified,2,985,0.984771574,0.192071916,344391,0.004060914,0,0.984771574
1,C_4_M_2,com.google.javascript.jscomp.CheckAccessControlsTest::testAutoboxedPrivateProperty,0,Modified,2,968,0.991735537,0.194224379,339055,0.003099174,0,0.991735537
1,C_4_M_3,com.google.javascript.jscomp.CheckAccessControlsTest::testFinalClassCannotBeSubclassed,0,New,3,1083,0.992613112,0.192709091,376084,0.003693444,0,0.992613112
1,C_5_M_1,com.google.javascript.jscomp.StrictModeCheckTest::testFunctionDecl,0,New,15,586,0.986348123,0.24006292,246023,0.003412969,0,0.986348123
1,C_5_M_2,com.google.javascript.jscomp.StrictModeCheckTest::testFunctionDecl2,0,New,2,473,0.989429175,0.220777926,226124,0.00422833,0,0.989429175
1,C_6_M_1,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression4,0,New,2,863,0.994206257,0.22962544,307258,0,0,0.994206257
1,C_7_M_1,com.google.javascript.jscomp.PhaseOptimizerTest::testLoop3,0,Modified,5,109,0.779816514,0.054978933,167164,0,0,0.779816514
1,C_7_M_2,com.google.javascript.jscomp.PhaseOptimizerTest::testNotInfiniteLoop,0,Modified,5,107,0.794392523,0.055262962,166874,0,0,0.794392523
1,C_7_M_3,com.google.javascript.jscomp.PhaseOptimizerTest::testCombined,0,Modified,7,110,0.781818182,0.054929845,167309,0,0,0.781818182
1,C_7_M_4,com.google.javascript.jscomp.PhaseOptimizerTest::testConsumption1,0,Modified,3,109,0.80733945,0.055252905,167164,0,0,0.80733945
1,C_8_M_1,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveVarDeclaration1,0,New,2,706,0.988668555,0.22729119,269707,0,0,0.988668555
1,C_8_M_10,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveDeclaration2,0,New,2,730,0.979452055,0.225194349,274952,0,0,0.979452055
1,C_8_M_11,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveDeclaration3,0,New,2,755,0.978807947,0.222438257,280511,0,0,0.978807947
1,C_8_M_12,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveDeclaration4,0,New,2,795,0.982389937,0.229260323,289699,0,0,0.982389937
1,C_8_M_13,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveDeclaration5,0,New,2,792,0.977272727,0.226719841,288998,0,0,0.977272727
1,C_8_M_14,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveDeclaration6,0,New,2,797,0.976160602,0.22615337,290167,0,0,0.976160602
1,C_8_M_15,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveDeclaration7,0,New,2,792,0.977272727,0.226719841,288998,0,0,0.977272727
1,C_8_M_16,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveFunction1,0,New,2,711,0.990154712,0.230919447,270788,0,0,0.990154712
1,C_8_M_17,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveFunction2,0,New,2,730,0.982191781,0.229121167,274952,0,0,0.982191781
1,C_8_M_18,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveFunction3,0,New,2,757,0.982826948,0.226738567,280963,0,0,0.982826948
1,C_8_M_19,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveFunction4,0,New,2,757,0.982826948,0.226738567,280963,0,0,0.982826948
1,C_8_M_2,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveVarDeclaration2,0,New,2,774,0.981912145,0.229814837,284828,0,0,0.981912145
1,C_8_M_20,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveRecursiveFunction2a,0,New,2,739,0.99052774,0.229557567,276939,0,0,0.99052774
1,C_8_M_21,com.google.javascript.jscomp.NameAnalyzerTest::testRemoveRecursiveFunction4,0,Modified,2,752,0.988031915,0.239416912,279833,0,0,0.988031915
1,C_8_M_22,com.google.javascript.jscomp.NameAnalyzerTest::testIf4a,0,New,2,786,0.982188295,0.22937703,287600,0,0,0.982188295
1,C_8_M_23,com.google.javascript.jscomp.NameAnalyzerTest::testIf4b,0,New,2,793,0.978562421,0.227059693,289231,0,0,0.978562421
1,C_8_M_24,com.google.javascript.jscomp.NameAnalyzerTest::testIf4c,0,New,2,798,0.978696742,0.227047964,290402,0,0,0.978696742
1,C_8_M_25,com.google.javascript.jscomp.NameAnalyzerTest::testSetterInForIn3,0,Modified,2,791,0.981036662,0.228542295,288765,0,0,0.981036662
1,C_8_M_26,com.google.javascript.jscomp.NameAnalyzerTest::testSetterInForIn4,0,Modified,2,791,0.981036662,0.228542295,288765,0,0,0.981036662
1,C_8_M_27,com.google.javascript.jscomp.NameAnalyzerTest::testNestedAssigns1,0,New,2,800,0.98,0.228643666,290872,0,0,0.98
1,C_8_M_28,com.google.javascript.jscomp.NameAnalyzerTest::testNestedAssigns2,0,New,2,798,0.98245614,0.229277243,290402,0,0,0.98245614
